Indentifier,Creator,Title,AlternativeTitle,Date,Description,Condition,Repository
JMC.01.01-001,Keiichi Arawi,Nichijou: My Ordinary Life Vol. 1,NONE,2007,"Manga; Paperback; Comedy, Slice-of-life, High School",GOOD,L. S. Garner Museum of Ordinary Objects
JMC.01.01-002,Io Sakisaka,Ao Haru Ride Vol. 1,アオハライド; Blue Spring Ride,2011,"Manga; Paperback; Shojo, Romance, High School",EXCELLENT,L. S. Garner Museum of Ordinary Objects
JMC.01.01-003,Robico,My Little Monster Vol. 1,となりの怪物くん; Tonari no Kiabutsu-kun,2009,"Manga; Paperback; Shojo, Romance, High School",GOOD,L. S. Garner Museum of Ordinary Objects
JMC.01.01-004,Atsushi Ohkubo,Soul Eater Vol. 1,NONE,2004,"Manga; Paperback; Action, Comedy, Fantasy, Supernatural, High School",GOOD,L. S. Garner Museum of Ordinary Objects
JMC.01.01-005,Kazue Kato,Blue Exorcist Vol. 1,青の祓魔師; Ao no Exorcist,2009,"Manga; Paperback; Action, Supernatural, Mythology, High School",GOOD,L. S. Garner Museum of Ordinary Objects
JMC.01.01-006,Hajime Isayama,Attack on Titan Vol. 1,進撃の巨人; Shingeki no Kyojin,2010,"Manga; Paperback; Gore, Military, Survival, Action, Fantasy",POOR,L. S. Garner Museum of Ordinary Objects
JMC.01.01-007,Bisco Hatori,Ouran High School Host Club Vol. 2,桜蘭高校ホスト部,2000,"Manga; Paperback; Shojo, Comendy, Romance, High School",EXCELLENT,L. S. Garner Museum of Ordinary Objects
JMC.01.01-008,Hiro Mashima,Fairy Tail Vol. 1,NONE,2006,"Manga; Paperback; Action, Adventure, Fantasy",GOOD,L. S. Garner Museum of Ordinary Objects
JMC.01.01-009,Yoshihiro Togashi,Hunter x Hunter Vol. 1,HxH,1998,"Manga; Paperback; Action, Adventure, Fantasy",EXCELLENT,L. S. Garner Museum of Ordinary Objects
JMC.01.01-010,ONE,Mob Psycho 100 Vol. 1,モブサイコ100,2012,"Manga; Paperback; Action, Comedy, Supernatural",EXCELLENT,L. S. Garner Museum of Ordinary Objects
JMC.01.01-011,Adachitoka,Noragami: Stray God Vol. 1,ノラガミ,2011,"Manga; Paperback; Action, Fantasy, Mythology",EXCELLENT,L. S. Garner Museum of Ordinary Objects
JMC.01.01-012,Julietta Suzuki,Kamisama Kiss Vol. 1,神様はじめました; Kamisama Hajimemashita,2008,"Manga; Paperback; Shojo, Supernatural, Mythology, Comedy, Romance",GOOD,L. S. Garner Museum of Ordinary Objects
JMC.01.01-013,Ayuko & Mizue Tani,The Earl and the Fairy Vol. 2,伯爵と妖精; Hakushaku to Yousei,2008,"Manga; Paperback; Shojo, Fantasy, Supernatural, Romance",GOOD,L. S. Garner Museum of Ordinary Objects
JMC.01.01-014,Hirohiko Araki,JoJo's Bizarre Adventure Part 2: Battle Tendency Vol. 1,ジョジョの奇妙な冒険 戦闘潮流; JoJo no Kimyou na Bouken: Sentou Chouryuu,1986,"Manga; Hardcover; Action, Adventure",EXCELLENT,L. S. Garner Museum of Ordinary Objects
JMC.01.01-015,Akihito Tsukushi,Made in Abyss Vol. 1,メイドインアビス,2013,"Manga; Paperback; Dark, Fantasy, Adventure, Drama",GOOD,L. S. Garner Museum of Ordinary Objects
JMC.01.01-016,Sui Ishida,Tokyo Ghoul Vol. 2,東京喰種; Toukyo Kushu,2011,"Manga; Paperback; Action, Gore, Horror, Urban Fantasy",GOOD,L. S. Garner Museum of Ordinary Objects
JMC.01.02-017,Satoshi Yagisawa,Days at Morisaki Bookshop,"森崎書店の日々, Morisaki Shoten no Hibi",2010,"Novel; Paperback; Slice-of-life, Literary Fiction",EXCELLENT,L. S. Garner Museum of Ordinary Objects
